"Geneid","Length"
"PRB1",1173
"PRB2",1428
"LINC01252",3671
"ETV6",5978
"RNU6-19P",87
"BCL2L14",2231
"LRP6",10083
"MANSC1",2297
"LOH12CR2",1538
"LOH12CR1",2092
"DUSP16",6312
"CREBL2",3813
"GPR19",1743
"CDKN1B",2522
"APOLD1",4825
"MIR613",95
"DDX47",1817
"RPL13AP20",660
"GPRC5A",2851
"MIR614",90
"GPRC5D",1038
"HEBP1",1208
"LOC100506314",1743
"HTR7P1",4389
"KIAA1467",4711
"GSG1",2969
"EMP1",2804
"LINC01559",3202
"GRIN2B",5941
"ATF7IP",10120
"PLBD1",1932
"PLBD1-AS1",586
"GUCY2C",3842
"HIST4H4",412
"H2AFJ",3667
"WBP11",2674
"C12orf60",1126
"SMCO3",2104
"ART4",1371
"MGP",1473
"ERP27",1752
"ARHGDIB",1216
"PDE6H",747
"LINC01489",605
"RERG",2325
"RERG-AS1",335
"PTPRO",7636
"EPS8",4082
"STRAP",1905
"DERA",1804
"SLC15A5",2923
"MGST1",2354
"LMO3",5156
"SKP1P2",1882
"MIR3974",96
"RERGL",1147
"PIK3C2G",4967
"PLCZ1",2159
"CAPZA3",1078
"PLEKHA5",9582
"AEBP2",5807
"LOC100506393",526
"PDE3A",7610
"SLCO1C1",3578
"SLCO1B3",3012
"SLCO1B7",1923
"SLCO1B1",2787
"SLCO1A2",7871
"IAPP",1976
"PYROXD1",4124
"RECQL",3779
"GOLT1B",3272
"SPX",583
"GYS2",3132
"LDHB",1600
"KCNJ8",2389
"ABCC9",8462
"CMAS",1794
"ST8SIA1",9714
"C2CD5",4990
"ETNK1",7306
"LOC101928441",1641
"SOX5",4994
"MIR920",75
"LOC101928471",710
"LINC00477",1710
"BCAT1",10227
"C12orf77",1509
"LRMP",2869
"CASC1",2738
"LYRM5",1135
"KRAS",5889
"LMNTD1",3695
"MIR4302",60
"RASSF8-AS1",1084
"RASSF8",7068
"BHLHE41",3780
"SSPN",4727
"ITPR2",12583
"ASUN",2976
"FGFR1OP2",3148
"TM7SF3",4343
"MED21",2955
"C12orf71",966
"STK38L",5096
"ARNTL2",7444
"ARNTL2-AS1",813
"SMCO2",1272
"PPFIBP1",6170
"REP15",1139
"MRPS35",1897
"MANSC4",1095
"KLHL42",6469
"PTHLH",2639
"CCDC91",2335
"FAR2",4085
"LOC100506606",2382
"ERGIC2",1777
"OVCH1-AS1",1726
"OVCH1",3420
"TMTC1",9193
"IPO8",5690
"CAPRIN2",4529
"LINC00941",1895
"TSPAN11",5562
"DDX11-AS1",2031
"DDX11",3927
"FAM60A",3156
"FLJ13224",1630
"DENND5B",9774
"DENND5B-AS1",564
"METTL20",2381
"AMN1",2406
"H3F3C",1057
"KIAA1551",6232
"RNU6-78P",30
"BICD1",3589
"FGD4",8990
"DNM1L",4654
"YARS2",2173
"PKP2",4439
"SYT10",3286
"ALG10",3127
"ALG10B",10074
"CPNE8",3461
"KIF21A",6641
"ABCD2",5341
"C12orf40",2793
"SLC2A13",7003
"LRRK2",9224
"MUC19",24831
"CNTN1",7308
"PDZRN4",4094
"GXYLT1",7488
"YAF2",9145
"ZCRB1",1844
"MIR7851",160
"PPHLN1",4585
"PRICKLE1",4798
"LOC101927058",1212
"ADAMTS20",5733
"PUS7L",4423
"IRAK4",4341
"TWF1",3456
"TMEM117",2999
"NELL2",4234
"DBX2",2722
"RACGAP1P",2794
"PLEKHA8P1",1869
"RNY5",46
"ANO6",7153
"LINC00938",2202
"ARID2",8466
"SCAF11",7596
"SLC38A1",9973
"SLC38A2",4884
"LOC100288798",906
"SLC38A4",3983
"AMIGO2",3951
"PCED1B",2331
"MIR4698",80
"PCED1B-AS1",2502
"MIR4494",84
"RPAP3",3687
"ENDOU",2459
"RAPGEF3",6602
"SLC48A1",3034
"HDAC7",4301
"VDR",5166
"TMEM106C",1588
"COL2A1",5087
"SENP1",5419
"PFKM",3823
"MIR6505",71
"ASB8",2613
"CCDC184",2344
"OR10AD1",954
"H1FNT",1300
"ZNF641",4684
"ANP32D",396
"C12orf54",889
"OR8S1",1080
"LALBA",728
"KANSL2",2386
"SNORA34",137
"MIR1291",87
"SNORA2A",135
"SNORA2B",137
"CCNT1",7079
"LINC00935",658
"ADCY6",6102
"MIR4701",63
"LOC100506125",554
"CACNB3",3235
"DDX23",3267
"RND1",1665
"CCDC65",1815
"FKBP11",1337
"ARF3",3537
"WNT10B",2369
"WNT1",2284
"DDN",3744
"PRKAG1",1964
"KMT2D",19419
"RHEBL1",1287
"DHH",1934
"LMBR1L",2549
"TUBA1B",1751
"TUBA1A",2476
"TUBA1C",2118
"LOC101927267",4166
"PRPH",1833
"TROAP",2852
"C1QL4",2065
"DNAJC22",4412
"SPATS2",3926
"LOC100335030",3160
"KCNH3",3853
"MCRS1",1995
"FAM186B",3370
"PRPF40B",3887
"FMNL3",11192
"TMBIM6",3356
"NCKAP5L",4900
"BCDIN3D-AS1",3088
"BCDIN3D",3249
"FAIM2",4744
"LOC283332",2340
"LOC101927292",3157
"AQP2",4179
"LOC101927318",994
"AQP5",1825
"AQP6",2654
"RACGAP1",3459
"ASIC1",4736
"SMARCD1",3429
"GPD1",3083
"COX14",999
"CERS5",3962
"LIMA1",4610
"MIR1293",71
"FAM186A",7265
"LARP4",6709
"DIP2B",8715
"ATF1",2505
"TMPRSS12",1461
"METTL7A",3390
"HIGD1C",294
"SLC11A2",6805
"LETMD1",2173
"CSRNP2",4702
"TFCP2",3715
"POU6F1",5301
"DAZAP2",2823
"SMAGP",1239
"BIN2",2993
"CELA1",952
"GALNT6",4520
"SLC4A8",13202
"SCN8A",11556
"FIGNL2",4694
"ANKRD33",2046
"ACVRL1",4404
"ACVR1B",4807
"GRASP",2090
"NR4A1",3942
"ATG101",1437
"OR7E47P",2010
"KRT80",3894
"C12orf80",1292
"LINC00592",1053
"KRT7",1702
"KRT81",1910
"KRT86",2091
"KRT83",1875
"KRT85",2747
"KRT84",2073
"KRT82",2681
"KRT75",2125
"KRT6B",2282
"KRT6C",2289
"KRT6A",2450
"KRT5",2303
"KRT71",2265
"KRT74",2788
"KRT72",2015
"KRT73",2284
"KRT73-AS1",3808
"KRT2",2414
"KRT1",2451
"KRT77",3304
"KRT76",2529
"KRT3",2310
"KRT4",2147
"KRT79",2066
"KRT78",3002
"KRT8",2265
"KRT18",1535
"EIF4B",4063
"LOC283335",2863
"TNS2",5199
"MIR6757",69
"SPRYD3",2932
"IGFBP6",966
"SOAT2",2073
"CSAD",3026
"ZNF740",4256
"ITGB7",2867
"RARG",3431
"MFSD5",2216
"ESPL1",6623
"PFDN5",687
"C12orf10",1215
"AAAS",1837
"SP7",3317
"SP1",7698
"AMHR2",1863
"PRR13",1195
"PCBP2",3171
"PCBP2-OT1",590
"MAP3K12",3640
"TARBP2",1988
"NPFF",592
"ATF7",7351
"LOC100652999",2297
"ATP5G2",1287
"CALCOCO1",3046
"CISTR",918
"HOXC13-AS",1408
"HOXC13",2396
"HOXC12",849
"HOTAIR",2579
"HOXC11",2037
"HOXC-AS3",368
"HOXC10",1959
"MIR196A2",110
"HOXC-AS2",504
"HOXC-AS1",548
"HOXC9",1541
"HOXC8",2288
"HOXC4",2346
"HOXC5",2175
"HOXC6",2244
"MIR615",96
"FLJ12825",3942
"LOC100240735",905
"LOC100240734",491
"LOC400043",1395
"SMUG1",3017
"CBX5",11867
"MIR3198-2",80
"HNRNPA1",1925
"HNRNPA1P10",1356
"NFE2",2048
"COPZ1",2020
"MIR148B",99
"LOC102724050",1206
"GPR84",1509
"ZNF385A",2776
"ITGA5",4250
"GTSF1",812
"NCKAP1L",3945
"PDE1B",3783
"PPP1R1A",1834
"GLYCAM1",781
"LACRT",508
"DCD",709
"MUCL1",489
"TESPA1",4140
"NEUROD4",3956
"OR9K2",1008
"OR10A7",951
"OR6C74",939
"OR6C6",945
"OR6C1",939
"OR6C3",936
"OR6C75",939
"OR6C65",939
"OR6C76",939
"OR6C2",939
"OR6C70",939
"OR6C68",939
"OR6C4",930
"OR2AP1",930
"OR10P1",942
"METTL7B",1505
"ITGA7",4413
"BLOC1S1",1004
"BLOC1S1-RDH5",1213
"RDH5",1342
"CD63",2060
"GDF11",4260
"SARNP",1308
"ORMDL2",1334
"DNAJC14",3330
"TMEM198B",3502
"MMP19",3392
"WIBG",1276
"DGKA",3055
"PMEL",2202
"CDK2",2301
"RAB5B",5428
"SUOX",2462
"IKZF4",5451
"RPS26",682
"ERBB3",6193
"PA2G4",2626
"RPL41",584
"ZC3H10",2497
"ESYT1",4277
"MYL6B",1064
"MYL6",809
"SMARCC2",5681
"RNF41",5712
"NABP2",1401
"SLC39A5",2108
"ANKRD52",8656
"COQ10A",1805
"CS",2976
"CNPY2",1598
"PAN2",5564
"IL23A",1042
"STAT2",4550
"APOF",1689
"TIMELESS",5138
"MIP",2608
"SPRYD4",2105
"GLS2",2721
"RBMS2",8486
"BAZ2A",9141
"ATP5B",1843
"SNORD59B",75
"SNORD59A",75
"PTGES3",3399
"NACA",3472
"PRIM1",1462
"HSD17B6",1618
"SDR9C7",1765
"RDH16",1723
"GPR182",1570
"ZBTB39",6238
"TAC3",955
"MYO1A",3669
"NEMP1",5617
"NAB2",2711
"STAT6",4267
"LRP1",14888
"LRP1-AS",879
"MIR1228",73
"NXPH4",1804
"SHMT2",2862
"NDUFA4L2",1188
"STAC3",1654
"R3HDM2",3974
"INHBC",3301
"INHBE",2437
"GLI1",3618
"ARHGAP9",2975
"MARS",2915
"MIR6758",63
"DDIT3",1178
"MIR616",95
"MBD6",4150
"DCTN2",2119
"KIF5A",3897
"PIP4K2C",3219
"DTX3",2232
"ARHGEF25",2946
"LOC101927583",2444
"SLC26A10",2409
"B4GALNT1",3882
"OS9",2862
"AGAP2",6088
"AGAP2-AS1",1531
"TSPAN31",1740
"CDK4",2002
"MIR6759",65
"MARCH9",2985
"CYP27B1",2487
"METTL1",1307
"METTL21B",2840
"TSFM",2404
"AVIL",2994
"CTDSP2",5020
"MIR26A2",84
"LOC100506844",699
"XRCC6BP1",1160
"LOC101927653",1976
"LOC100506869",422
"LRIG3",4200
"SLC16A7",12407
"FAM19A2",4136
"USP15",9895
"MIR6125",96
"MON2",10518
"LINC01465",1684
"MIRLET7I",84
"PPM1H",6200
"AVPR1A",7831
"DPY19L2",4057
"TMEM5",2289
"TMEM5-AS1",563
"SRGAP1",8475
"C12orf66",3941
"C12orf56",2069
"XPOT",3947
"TBK1",3087
"RASSF3",3492
"MIR548C",97
"MIR548Z",97
"GNS",5128
"TBC1D30",7824
"FLJ41278",3166
"WIF1",2240
"LEMD3",4798
"MSRB3",4666
"LOC100507065",2509
"RPSAP52",1144
"HMGA2",5124
"LOC100129940",6146
"MIR6074",107
"LLPH",1217
"LLPH-AS1",623
"TMBIM4",2003
"IRAK3",8336
"MIR6502",76
"HELB",3611
"GRIP1",5060
"LOC102724421",508
"CAND1",5992
"LOC100507175",1771
"DYRK2",6159
"LOC101927901",3135
"LINC01479",472
"IFNG-AS1",1909
"IFNG",1210
"IL26",1047
"IL22",1147
"MDM1",5005
"LOC100507195",574
"RAP1B",2151
"SNORA70G",142
"LOC100507250",1729
"NUP107",3124
"SLC35E3",2347
"LOC100130075",1058
"MDM2",7565
"CPM",6726
"CPSF6",6727
"MIR1279",62
"LYZ",1516
"YEATS4",1501
"FRS2",7201
"MIR3913-1",102
"MIR3913-2",100
"CCT2",2282
"LRRC10",2598
"BEST3",5388
"LOC101928002",2538
"RAB3IP",10222
"MYRFL",3122
"LINC01481",1340
"CNOT2",4116
"KCNMB4",4725
"PTPRB",11414
"PTPRR",4483
"TSPAN8",1130
"LGR5",4893
"ZFC3H1",7158
"THAP2",4840
"TMEM19",4658
"RAB21",2627
"TBC1D15",5888
"MRS2P2",2690
"TPH2",2360
"TRHDE-AS1",6030
"TRHDE",5552
"LOC101928137",1256
"LOC100507377",738
"ATXN7L3B",3682
"KCNC2",6077
"CAPS2",4558
"GLIPR1L1",1032
"GLIPR1L2",3499
"GLIPR1",3907
"KRR1",3357
"PHLDA1",5913
"NAP1L1",5185
"BBS10",3583
"OSBPL8",7241
"ZDHHC17",4771
"CSRP2",923
"E2F7",5741
"NAV3",9826
"SYT1",5327
"MIR1252",65
"MIR5692B",33
"PAWR",1951
"PPP1R12A",5944
"OTOGL",8083
"PTPRQ",7550
"MYF6",1337
"MYF5",1520
"LINC01490",1476
"LIN7A",1230
"MIR617",97
"MIR618",98
"ACSS3",3033
"MIR4699",74
"PPFIA2",6568
"LOC102724663",969
"LOC101928449",1372
"CCDC59",1744
"METTL25",2094
"TMTC2",4842
"SLC6A15",7841
"TSPAN19",1020
"LRRIQ1",5444
"ALX1",1293
"RASSF9",1796
"NTS",1239
"MGAT4C",1934
"MIR548AL",60
"MKRN9P",1826
"C12orf50",1705
"C12orf29",2874
"CEP290",7955
"TMTC3",7203
"KITLG",5443
"LOC728084",2509
"DUSP6",3395
"POC1B",3622
"POC1B-GALNT4",5495
"GALNT4",5394
"ATP2B1",6933
"LINC00936",2998
"LINC00615",1406
"CCER1",2962
"EPYC",1539
"KERA",2530
"LUM",2116
"DCN",2509
"C12orf79",2444
"BTG1",4680
"CLLU1OS",686
"CLLU1",4250
"C12orf74",2369
"PLEKHG7",3267
"EEA1",8003
"LOC643339",578
"LOC102724933",1269
"NUDT4",5056
"NUDT4P2",3833
"NUDT4P1",3796
"UBE2N",2552
"MRPL42",3247
"SOCS2-AS1",574
"SOCS2",3921
"CRADD",1188
"LOC101928731",1949
"PLXNC1",7589
"CEP83",3225
"CEP83-AS1",2566
"MIR5700",71
"TMCC3",6106
"MIR7844",122
"MIR492",116
"KRT19P2",575
"NDUFA12",583
"NR2C1",4533
"FGD6",9288
"VEZT",4647
"MIR331",94
"MIR3685",62
"METAP2",3504
"USP44",4386
"PGAM1P5",2143
"NTN4",3615
"SNRPF",793
"CCDC38",1954
"AMDHD1",2136
"HAL",3913
"LTA4H",2446
"ELK3",4296
"CDK17",4713
"CFAP54",9782
"NEDD1",4098
"RMST",2099
"MIR1251",70
"MIR135A2",100
"LOC643711",4350
"MIR4495",66
"MIR4303",66
"SLC9A7P1",3305
"LOC643770",1825
"TMPO-AS1",3161
"TMPO",6993
"SLC25A3",2037
"SNORA53",250
"IKBIP",4099
"APAF1",7191
"ANKS1B",7752
"LOC101928937",1038
"FAM71C",1867
"UHRF1BP1L",5437
"GOLGA2P5",4487
"MIR1827",66
"ACTR6",2619
"DEPDC4",1154
"SCYL2",3804
"SLC17A8",3983
"NR1H4",2589
"GAS2L3",6371
"ANO4",4229
"SLC5A8",3286
"UTP20",9010
"ARL1",3241
"SPIC",971
"MYBPC1",4028
"CHPT1",1567
"SYCP3",1129
"GNPTAB",5630
"DRAM1",3543
"CCDC53",1015
"NUP37",1205
"PARPBP",3081
"PMCH",757
"IGF1",7814
"LINC00485",3719
"PAH",2681
"ASCL1",2484
"LOC101929058",926
"C12orf42",3353
"LOC101929084",3059
"STAB2",8230
"NT5DC3",7214
"TTC41P",4516
"HSP90B1",2862
"MIR3652",131
"C12orf73",1693
"TDG",3244
"GLT8D2",1877
"HCFC2",5735
"NFYB",3482
"TXNRD1",4610
"EID3",1473
"CHST11",5768
"MIR3922",84
"SLC41A2",3544
"C12orf45",622
"ALDH1L2",7539
"LOC414300",1104
"KIAA1033",5815
"APPL2",3563
"KCCAT198",549
"C12orf75",1366
"CASC18",2704
"NUAK1",6821
"CKAP4",3036
"TCP11L2",2769
"POLR3B",4414
"LOC100287944",569
"RFX4",4377
"LOC100505978",863
"RIC8B",4989
"TMEM263",3369
"MTERF2",1790
"CRY1",3294
"BTBD11",5911
"PWP1",1853
"PRDM4",4187
"LOC101929162",1714
"ASCL4",2260
"LOC728739",622
"WSCD2",5185
"CMKLR1",5614
"LINC01498",549
"FICD",1651
"SART3",4370
"ISCU",2411
"TMEM119",2701
"SELPLG",2784
"MIR4496",61
"CORO1C",4270
"SSH1",9191
"MIR619",99
"DAO",1596
"SVOP",6266
"USP30",4324
"USP30-AS1",978
"ALKBH2",1197
"UNG",2366
"ACACB",9249
"FOXN4",3352
"LINC01486",612
"MYO1H",4258
"KCTD10",3970
"UBE3B",5977
"MMAB",4225
"MVK",2077
"FAM222A",3140
"FAM222A-AS1",868
"TRPV4",3239
"MIR4497",89
"GLTP",2356
"TCHP",3310
"GIT2",6412
"ANKRD13A",3908
"C12orf76",1947
"IFT81",3723
"ATP2A2",8314
"ANAPC7",3644
"ARPC3",953
"GPN3",1764
"FAM216A",1521
"VPS29",1393
"RAD9B",3037
"PPTC7",3748
"TCTN1",2229
"HVCN1",1814
"PPP1CC",2511
"CCDC63",1993
"MYL2",829
"LINC01405",359
"CUX2",6844
"MIR6760",68
"FAM109A",3256
"SH2B3",5572
"ATXN2",4777
"BRAP",4036
"ACAD10",4107
"ALDH2",2060
"MIR6761",72
"MAPKAPK5-AS1",2285
"MAPKAPK5",2291
"ADAM1A",2840
"TMEM116",1820
"ERP29",1472
"NAA25",5819
"MIR3657",117
"TRAFD1",3179
"HECTD4",15450
"MIR6861",64
"RPL6",1130
"PTPN11",6577
"MIR1302-1",143
"RPH3A",4592
"OAS1",1989
"OAS3",6639
"OAS2",6169
"DTX1",3288
"RASAL1",4002
"CCDC42B",1514
"DDX54",4381
"MIR7106",65
"RITA1",2053
"IQCD",1369
"TPCN1",5467
"MIR6762",86
"SLC8B1",2976
"PLBD2",2832
"SDS",1604
"SDSL",1418
"LHX5",2084
"LHX5-AS1",379
"LINC01234",2222
"RBM19",5646
"TBX5",4362
"TBX5-AS1",3638
"TBX3",4783
"MED13L",9378
"MIR620",95
"MIR4472-2",67
"LINC00173",2004
"MAP1LC3B2",832
"C12orf49",5278
"RNFT2",2898
"HRK",1839
"FBXW8",4855
"LOC100506551",4198
"TESC",1024
"TESC-AS1",465
"FBXO21",4233
"NOS1",12534
"KSR2",17008
"RFC5",2473
"WSB2",2958
"VSIG10",5003
"PEBP1",1491
"TAOK3",4384
"SUDS3",4728
"SRRM4",8477
"HSPB8",2002
"LINC00934",2291
"CCDC60",2450
"TMEM233",1573
"PRKAB1",2401
"CIT",8708
"MIR1178",91
"CCDC64",3081
"RAB35",2945
"GCN1",8668
"MIR4498",66
"RPLP0",1264
"PXN-AS1",763
"PXN",4216
"SIRT4",1210
"PLA2G1B",565
"MSI1",2975
"COX6A1",572
"TRIAP1",1182
"GATC",4346
"SRSF9",1163
"DYNLL1",984
"NRAV",1897
"COQ5",1509
"RNF10",3847
"POP5",801
"CABP1",1960
"MLEC",6496
"UNC119B",4404
"MIR4700",74
"ACADS",2087
"SPPL3",4129
"XLOC_009911",498
"HNF1A-AS1",2455
"HNF1A",3437
"C12orf43",2911
"OASL",2085
"P2RX7",4065
"P2RX4",2114
"CAMKK2",6261
"ANAPC5",2732
"RNF34",2091
"KDM2B",5746
"MIR7107",80
"MIR548AQ",115
"ORAI1",1502
"MORN3",1158
"TMEM120B",7510
"RHOF",2435
"LINC01089",1521
"SETD1B",8195
"HPD",1942
"PSMD9",2352
"WDR66",4295
"BCL7A",3783
"MLXIP",8421
"LRRC43",2089
"IL31",904
"B3GNT4",1504
"DIABLO",3463
"LOC101593348",2351
"VPS33A",2603
"CLIP1",5913
"CLIP1-AS1",896
"ZCCHC8",4255
"RSRC2",2452
"KNTC1",6965
"HCAR2",2065
"HCAR3",2137
"HCAR1",2977
"DENR",2722
"CCDC62",3216
"HIP1R",5504
"VPS37B",2749
"ABCB9",3909
"OGFOD2",2789
"ARL6IP4",1871
"PITPNM2",6941
"MIR4304",62
"LOC100507091",2191
"MPHOSPH9",4485
"C12orf65",2085
"CDK2AP1",2156
"SBNO1",10981
"MIR8072",80
"SETD8",2751
"RILPL2",1801
"SNRNP35",2438
"RILPL1",2624
"MIR3908",126
"LOC101927415",2316
"TMED2",2126
"DDX55",2622
"EIF2B1",1870
"GTF2H3",3417
"TCTN2",2912
"ATP6V0A2",6541
"DNAH10",13680
"CCDC92",2526
"ZNF664",4324
"ZNF664-FAM101A",2413
"FAM101A",2150
"NCOR2",8881
"MIR6880",62
"SCARB1",2742
"UBC",2585
"MIR5188",113
"DHX37",4551
"BRI3BP",1272
"THRIL",1981
"AACS",3321
"TMEM132B",11089
"LINC00939",2078
"LOC101927464",640
"LOC100128554",2453
"LOC100996671",966
"LINC00944",621
"LINC00943",2259
"LOC440117",1482
"LOC101927592",1336
"LOC101927616",852
"LOC101927637",723
"FLJ37505",2020
"LINC00508",1427
"LINC00507",2129
"CRAT8",552
"LOC100996679",696
"LOC101927694",1656
"MIR4419B",68
"TMEM132C",4947
"MIR3612",87
"SLC15A4",2789
"GLT1D1",2721
"TMEM132D",5777
"LOC283352",545
"LOC101927735",1566
"LOC100190940",3211
"FZD10-AS1",3678
"FZD10",3282
"PIWIL1",3648
"RIMBP2",6322
"STX2",3465
"RAN",2546
"ADGRD1",5384
"LACAT8",789
"LINC01257",2473
"LOC338797",1794
"SFSWAP",3405
"MMP17",2408
"ULK1",5222
"PUS1",2082
"EP400",12317
"SNORA49",137
"EP400NL",1539
"DDX51",4717
"NOC4L",1685
"GALNT9",2920
"LOC100130238",3877
"LOC101928416",476
"FBRSL1",4547
"MIR6763",65
"LRCOL1",874
"P2RX2",1969
"POLE",8005
"PXMP2",957
"PGAM5",3254
"ANKLE2",4482
"GOLGA3",9586
"CHFR",3374
"LOC101928530",543
"ZNF605",6308
"ZNF26",6562
"LOC101928597",2300
"ZNF84",14872
"ZNF140",3380
"ZNF891",2303
"ZNF10",4403
"ZNF268",5868
"ANHX",1765
"LINC00417",542
"ANKRD20A9P",37567
"LINC00408",1081
"LINC00442",2138
"RNU6-52P",96
"TUBA3C",1551
"LOC101928697",574
"ANKRD26P3",3726
"LINC00421",1054
"TPTE2",2884
"LINC00350",562
"MPHOSPH8",4268
"PSPC1",3142
"ZMYM5",3471
"ZMYM2",10380
"LINC01072",431
"GJA3",5205
"GJB2",2332
"GJB6",2508
"CRYL1",1501
"MIR4499",69
"IFT88",3160
"IL17D",1861
"N6AMT2",872
"XPO4",9885
"LINC00367",751
"LATS2",5542
"SAP18",2301
"SKA3",2919
"MRPL57",2655
"LINC01046",405
"MIPEPP3",2088
"LINC00539",984
"ZDHHC20",5585
"MICU2",1933
"FGF9",4530
"LINC00424",453
"LINC00540",2142
"BASP1P1",1152
"SGCG",1655
"SACS",15860
"SACS-AS1",2234
"LINC00327",2087
"TNFRSF19",4838
"MIPEP",2429
"C1QTNF9B-AS1",905
"C1QTNF9B",1402
"ANKRD20A19P",5096
"SPATA13",10802
"MIR2276",89
"SPATA13-AS1",433
"C1QTNF9",1973
"LINC00566",569
"PARP4",5469
"TPTE2P6",2714
"ATP12A",3734
"RNF17",5107
"CENPJ",5232
"TPTE2P1",6477
"PABPC3",2429
"AMER2",10605
"LINC00463",1073
"LINC01053",1777
"MTMR6",5214
"NUPL1",4335
"ATP8A2",5006
"SHISA2",2889
"RNF6",3938
"CDK8",1769
"WASF3",5001
"GPR12",4848
"USP12",4503
"USP12-AS1",307
"USP12-AS2",784
"LINC00412",866
"RPL21",566
"RPL21P28",562
"SNORD102",72
"SNORA27",126
"RASL11A",1543
"GTF3A",1404
"MTIF3",1232
"LNX2",4804
"POLR1D",3020
"GSX1",847
"PDX1-AS1",2002
"PDX1",2573
"ATP5EP2",368
"CDX2",2351
"URAD",522
"FLT3",3974
"PAN3-AS1",2191
"PAN3",5632
"FLT1",12010
"POMP",1461
"SLC46A3",3344
"MTUS2",7196
"MTUS2-AS1",1114
"SLC7A1",7343
"UBL3",4346
"LINC00297",913
"LINC00572",575
"LINC00544",696
"LINC00365",2625
"KATNAL1",7669
"LINC00426",1608
"LINC01058",535
"HMGB1",3426
"USPL1",3904
"ALOX5AP",1270
"LINC00398",906
"LINC00545",400
"TEX26-AS1",2190
"MEDAG",2390
"TEX26",998
"HSPH1",5727
"B3GLCT",4213
"RXFP2",2803
"EEF1DP3",575
"FRY-AS1",2370
"FRY",10717
"ZAR1L",1103
"BRCA2",11386
"N4BP2L1",3116
"N4BP2L2",5284
"MINOS1P1",2279
"N4BP2L2-IT2",4890
"PDS5B",7498
"LINC00423",1356
"KL",5006
"STARD13",7519
"STARD13-AS",645
"RFC3",2865
"LINC00457",390
"NBEA",11210
"MAB21L1",2907
"MIR548F5",73
"LINC00445",755
"DCLK1",13692
"SOHLH2",3399
"CCDC169-SOHLH2",2650
"CCDC169",1539
"SPG20",5395
"SPG20-AS1",777
"CCNA1",2302
"SERTM1",3206
"RFXAP",2825
"SMAD9",5592
"ALG5",1213
"EXOSC8",1411
"SUPT20H",3550
"CSNK1A1L",2405
"LINC01048",529
"LINC00547",3314
"POSTN",3380
"TRPC4",3451
"LINC00571",521
"UFM1",3539
"LINC00437",2359
"LINC00366",531
"FREM2",16162
"STOML3",1998
"PROSER1",5169
"NHLRC3",3554
"LHFP",2158
"COG6",7005
"MIR4305",102
"LINC00332",836
"LINC00548",2551
"LINC00598",5257
"FOXO1",5738
"MIR320D1",48
"MRPS31",1339
"SLC25A15",4021
"TPTE2P5",4362
"MIR621",96
"SUGT1P3",1049
"ELF1",3739
"WBP4",2333
"MIR3168",82
"KBTBD6",5228
"LOC101929140",1921
"KBTBD7",2992
"MTRF1",2174
"NAA16",4592
"OR7E37P",1203
"RGCC",1108
"VWA8",7414
"MIR5006",110
"VWA8-AS1",2079
"DGKH",18967
"AKAP11",9920
"TNFSF11",2727
"FAM216B",3302
"LINC01050",760
"LINC00428",1042
"EPSTI1",3201
"DNAJC15",2776
"LINC00400",664
"ENOX1",3124
"ENOX1-AS2",714
"CCDC122",2008
"LACC1",4550
"LINC00284",2564
"SMIM2-AS1",1256
"SMIM2",1214
"SMIM2-IT1",478
"MIR8079",72
"SERP2",784
"TUSC8",1077
"TSC22D1",6780
"TSC22D1-AS1",2842
"LINC00330",2035
"NUFIP1",3487
"GPALPP1",1392
"LOC101929259",1762
"GTF2F2",1453
"KCTD4",2119
"TPT1",4814
"SNORA31",130
"TPT1-AS1",1526
"SLC25A30",3948
"SLC25A30-AS1",701
"COG3",4596
"ERICH6B",2421
"LINC01055",706
"SPERT",1749
"SIAH3",3994
"ZC3H13",6411
"CPB2-AS1",3508
"CPB2",1766
"LCP1",3790
"LRRC63",2114
"LINC00563",1400
"KIAA0226L",4440
"LINC01198",934
"LRCH1",8082
"ESD",1192
"HTR2A",5442
"HTR2A-AS1",441
"LINC00562",2470
"SUCLA2",2164
"NUDT15",2484
"MED4",2287
"MED4-AS1",544
"ITM2B",1896
"LINC00441",1143
"RB1",4772
"LPAR6",3458
"RCBTB2",3251
"LINC00462",1023
"CYSLTR2",3246
"FNDC3A",6699
"MLNR",1239
"CDADC1",3401
"CAB39L",4176
"SETDB2",6221
"PHF11",1902
"RCBTB1",4033
"ARL11",3760
"EBPL",1159
"KPNA3",4474
"CTAGE10P",2972
"SPRYD7",3218
"DLEU2",2768
"MIR3613",87
"TRIM13",7404
"KCNRG",1625
"MIR16-1",89
"MIR15A",83
"DLEU1",3963
"ST13P4",1598
"DLEU1-AS1",731
"DLEU7",3583
"DLEU7-AS1",1807
"RNASEH2B-AS1",624
"RNASEH2B",2158
"GUCY1B2",3022
"LINC00371",2268
"FAM124A",4902
"SERPINE3",1441
"MIR5693",73
"INTS6",9290
"INTS6-AS1",787
"MIR4703",79
"WDFY2",3809
"DHRS12",2779
"LINC00282",4126
"CCDC70",1154
"ATP7B",6641
"ALG11",2565
"UTP14C",5529
"NEK5",2924
"LOC101929657",3429
"NEK3",2734
"MRPS31P5",3495
"LOC103191607",839
"THSD1",3347
"VPS36",4787
"CKAP2",4325
"TPTE2P3",2613
"HNRNPA1L2",2365
"SUGT1",1786
"LECT1",1446
"MIR759",91
"PCDH8",4003
"OLFM4",2919
